category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Clothing,d30bd768,True,Cash,351.29,98d4dfd5,Jacket,2,4,Phoenix,USA,CA,7890 Cedar St,56396,"new,exclusive,trending",2024-10-30 17:09:40,bc07889b-fa3b-4ab9-b342-24f21bcf429d
Clothing,d8ae72f8,False,Bank Transfer,463.06,507ddde2,Socks,8,3,New York,USA,AZ,2639 Cedar St,45557,"limited,exclusive,new",2024-10-07 20:51:40,1974c296-c5cd-49f8-a7f4-74190fff4c0a
Clothing,4160a7a0,True,Gift Card,504.47,d01e696a,Dress,4,1,Los Angeles,USA,CA,8642 Pine St,24739,sale,2024-11-07 20:12:40,f7cc78c1-bba7-49be-a338-1c9adacd96ad
Sports,d8842b26,False,PayPal,172.75,ff01f793,Basketball,2,1,New York,USA,NY,9761 Cedar St,39326,"new,sale",2024-05-03 12:25:40,f5403e8a-a9ef-4d87-b323-c3d3ae7d93c5
Grocery,d1f128c5,True,PayPal,433.63,5cb786a7,Coffee,3,4,New York,USA,NY,3478 Oak St,80985,"new,trending",2024-11-11 09:31:40,92c8d2cd-ba37-4d6d-912a-568d68d8a302
Automotive,5bcbd08e,True,Cash,950.02,31d73cae,Floor Mats,6,5,Phoenix,USA,CA,4192 Pine St,56971,"exclusive,new",2025-01-30 08:38:40,76a52a5e-8466-40fc-87e7-2e3667151d70
Sports,3f9aba30,False,PayPal,951.86,a71ccef6,Yoga Mat,9,,New York,USA,TX,9690 Maple St,69985,"limited,new",2024-12-18 22:43:40,053fc8e5-66d2-4c3c-a8fe-47154afd0b99
Books,cdb346b5,False,Debit Card,493.93,bf43eb7f,Fiction Novel,9,1,Houston,USA,TX,8030 Pine St,98198,"new,sale",2024-12-19 07:24:40,b845c70f-4933-49ee-ab3a-761814a3bd85
Automotive,3ac7c779,True,PayPal,319.21,1c5d376f,Air Freshener,8,1,Phoenix,USA,AZ,6994 Main St,21955,,2024-03-30 10:41:40,f744da6d-2733-4f23-9e44-1151ddf07d62
Toys,1b686e7d,True,Credit Card,499.21,112b88eb,Puzzle,2,1,Los Angeles,USA,NY,6792 Main St,37333,"exclusive,sale,new",2024-10-19 05:26:40,4e827e48-ec47-4f7d-86f6-544e4734fd2b
Grocery,cfd7bdb4,False,Gift Card,803.45,61c486d2,Pasta,4,,Los Angeles,USA,NY,795 Cedar St,46971,"trending,limited,new",2024-08-29 12:09:40,96bc25fe-664e-4365-92fa-7dcd9546aa0c
Health,f7286d39,True,PayPal,840.5,8765c269,Bandages,1,5,Chicago,USA,CA,7884 Maple St,78684,"new,trending,limited",2024-07-19 10:24:40,81b3019d-5035-4df5-873a-e5c35bee0ec2
Grocery,cbfb5516,False,Debit Card,85.49,1142ca5b,Coffee,3,,New York,USA,NY,8635 Oak St,20955,,2025-01-19 10:22:40,7a537fb0-1f8f-4a8e-aa90-2a0ec474651f
Sports,446f7a55,True,Credit Card,457.9,a097c9cb,Running Shoes,5,1,Los Angeles,USA,NY,8786 Maple St,96387,"sale,exclusive",2025-02-02 16:44:40,ea2979c5-1e54-440d-97e7-cab515912308
Beauty,296c12b7,True,Credit Card,679.03,ac39c4d2,Face Cream,5,4,New York,USA,AZ,2208 Oak St,63745,,2024-08-23 06:26:40,a5e8a289-45fe-4d19-ba2a-ff6ccc012052
Beauty,06f15198,True,Credit Card,568.06,bd378efc,Shampoo,3,,Los Angeles,USA,NY,1121 Maple St,81128,limited,2024-07-05 17:38:40,69749407-43ff-49b3-a8af-c101dc2727b3
Health,e2dfca92,True,PayPal,460.98,3010df6b,Vitamins,6,3,Los Angeles,USA,NY,3493 Main St,17097,,2024-08-18 02:02:40,44fef5e1-182f-40bd-a22f-d5c11630bec4
Books,cf295250,True,Credit Card,964.18,580580a3,Self-Help,7,,New York,USA,TX,1398 Maple St,28454,"exclusive,new",2025-01-18 14:16:40,57f0db34-6d6c-4338-94ad-7eabe1b7b211
Home & Kitchen,13c63bee,True,PayPal,719.06,bea8198d,Plates,4,,New York,USA,CA,3865 Maple St,10966,,2024-09-15 06:18:40,fc870a96-28aa-429b-a664-492804dac1c4
Grocery,e7e1c065,False,Bank Transfer,329.53,256b895b,Cereal,7,2,New York,USA,NY,5432 Main St,87437,,2024-05-26 08:06:40,7a20a2bb-9130-4e02-a932-283724c92e5e
Home & Kitchen,92a56fa3,True,Credit Card,651.43,87f12009,Microwave,4,3,Phoenix,USA,AZ,6053 Pine St,60120,,2025-01-14 13:20:40,6bc19634-bcab-418c-99cc-ff6d487ee1c2
Books,04ac842e,False,Bank Transfer,74.11,04c0e824,Biography,10,5,Chicago,USA,CA,940 Cedar St,42265,trending,2025-03-07 13:51:40,d2547835-f5b5-410e-8b41-2f62dadce8a2
Clothing,d2a86eb2,True,Debit Card,418.6,38c7fa5e,T-shirt,2,4,New York,USA,AZ,8382 Cedar St,63736,,2024-10-03 14:19:40,d5ea65d8-f531-4290-bf40-629aab51e21e
Beauty,ab1ad0b8,False,Credit Card,329.67,65841183,Shampoo,4,2,Los Angeles,USA,AZ,3200 Main St,39793,"trending,limited,sale",2024-05-16 05:21:40,85c8c3c1-34a7-41af-89e3-e74a734cbfac
Electronics,b1b1c9b7,False,Gift Card,176.14,b573f62f,Camera,5,,Chicago,USA,IL,5638 Main St,75905,"exclusive,trending",2025-03-15 19:38:40,e8a6b6ac-e1a1-46e5-b985-08ab2c4cb4cf
Toys,8bde7905,False,Credit Card,905.76,eef78d3a,Stuffed Animal,8,2,Phoenix,USA,TX,6560 Main St,95297,,2024-05-19 10:57:40,1b684dae-3529-4e23-ab8a-75d0ed426988
Home & Kitchen,7705e17b,False,PayPal,955.11,6c1401f4,Microwave,1,,Phoenix,USA,CA,4942 Oak St,46026,"limited,exclusive,trending",2024-05-07 13:54:40,55b070cc-26bb-42ab-a105-d85b86d54051
Beauty,bad523e2,False,Bank Transfer,450.34,fbdf1868,Shampoo,8,2,Phoenix,USA,AZ,5363 Maple St,59276,,2025-03-18 06:47:40,cbdc0a9c-5b41-402a-b0c0-62c89ca359c7
Clothing,1e5289aa,True,Debit Card,780.51,a9f825fc,Shoes,4,,New York,USA,AZ,5541 Pine St,37137,,2024-12-12 20:50:40,34e571f2-19b4-4063-a3fd-2b8f6af42360
Home & Kitchen,4861cc3e,True,Bank Transfer,754.91,f860fb11,Blender,1,,Phoenix,USA,TX,3231 Main St,24826,,2024-10-06 18:16:40,9ad18f59-ac05-4615-8594-c90d689fb08b
Electronics,897cccf9,True,Bank Transfer,343.25,6c52cbed,Tablet,7,5,Los Angeles,USA,TX,774 Cedar St,95925,,2024-03-20 21:11:40,69694914-afe3-4f5c-ac22-6838d66df214
Home & Kitchen,3e9cae2c,False,Cash,81.48,9ede72a6,Plates,10,4,Phoenix,USA,IL,4804 Maple St,91856,"exclusive,sale",2025-02-16 08:53:40,0793f83c-5c46-4266-95fe-cea997a2cdf1
Electronics,1bb780b0,False,Cash,946.63,f45c3189,Smartphone,9,,New York,USA,NY,6447 Maple St,73973,,2024-07-17 06:10:40,a63065de-ded8-40ac-b7f0-35ade4df27a2
Electronics,df8fd9a7,True,Credit Card,419.35,55523979,Laptop,4,3,Phoenix,USA,IL,9865 Oak St,90191,"limited,trending",2024-09-06 04:34:40,64b0e1c2-2c79-4a1a-8083-026d3ced98ee
Home & Kitchen,9164b3fc,False,Debit Card,406.73,10ec2dda,Toaster,1,,Los Angeles,USA,IL,570 Pine St,87322,"exclusive,new,sale",2024-05-03 05:43:40,540d1429-d9b4-487a-911d-7208cb55c313
Beauty,f8cb466a,True,PayPal,947.99,599d8af7,Shampoo,4,,Houston,USA,AZ,7542 Pine St,59930,"limited,exclusive",2024-11-01 16:15:40,fb6f1c90-71a2-4f4c-a0cb-1e297e59007c
Home & Kitchen,a6beb4b6,True,PayPal,610.27,24cfd4c1,Knife Set,7,2,New York,USA,CA,1442 Oak St,43614,new,2024-04-09 17:29:40,a9a2810f-77ef-4848-a275-4887a4c856c6
Clothing,802c227e,True,Debit Card,241.79,5be9d070,T-shirt,5,1,Chicago,USA,AZ,7827 Cedar St,20806,"sale,new,exclusive",2024-10-10 16:52:40,84f3bb73-ccfc-4336-96e0-a5a5ce2fb14b
Home & Kitchen,daec8166,True,Cash,458.68,2b77c8a1,Plates,6,3,Chicago,USA,CA,3773 Maple St,17657,,2024-05-01 07:35:40,6810eda6-8628-4446-916a-d70f8226c07b
Health,84f746df,True,Gift Card,398.07,215c16e9,Bandages,3,3,Chicago,USA,TX,9445 Pine St,37337,,2024-04-10 21:18:40,bac6992b-e219-41c5-8747-7f0357dd783c
Sports,299d41ba,False,Credit Card,32.46,2e028f63,Basketball,6,3,Chicago,USA,NY,4997 Oak St,50282,"limited,exclusive",2024-05-12 07:54:40,8ef46ccd-f0e9-476c-90ad-b9033327cd1a
Toys,90ad24cf,False,Bank Transfer,666.55,a637d4cf,Board Game,8,,Houston,USA,CA,238 Pine St,60998,,2024-04-19 13:09:40,a437996c-71ad-4045-a4d4-6767953d036f
Home & Kitchen,9848ee07,True,Cash,797.65,d361e59b,Coffee Maker,10,4,Los Angeles,USA,CA,9422 Maple St,98442,"limited,exclusive",2024-10-20 12:31:40,684d0439-c231-4efc-a29c-70f9e3d372c0
Books,066ffb2a,False,PayPal,353.38,b3ce56a3,Fiction Novel,2,,Houston,USA,IL,1801 Cedar St,27208,,2024-10-15 08:49:40,f8af63a7-7bf7-4c8f-a4c9-01bc93e1ce66
Home & Kitchen,c066d3e1,False,Bank Transfer,552.62,dceb5486,Toaster,3,,Phoenix,USA,AZ,2912 Maple St,92326,trending,2024-07-18 17:01:40,30587132-7ba9-441d-a2de-0c6bc9b1d642
Clothing,f3c5c61b,False,Gift Card,558.34,136a77f6,Jacket,6,4,Phoenix,USA,IL,7272 Oak St,46662,"limited,sale",2024-08-04 13:42:40,983afae6-e022-4974-a3cc-66bd75ce22db
Clothing,33cfc8c0,True,PayPal,729.42,59657ca5,Dress,8,3,Chicago,USA,IL,8319 Pine St,25484,,2025-01-07 14:43:40,27327519-12a1-4be7-9a31-a2786bfa0849
Beauty,0c23b519,False,Bank Transfer,821.13,8a4a5e4f,Shampoo,6,,Phoenix,USA,TX,7043 Pine St,31682,limited,2025-01-03 07:21:40,04c66f9c-2c1a-4ef1-b312-3ac3b743bd65
Sports,07a6e8ef,False,PayPal,340.19,aaf4c26d,Basketball,4,3,Los Angeles,USA,TX,7773 Cedar St,68684,new,2024-10-04 01:17:40,a626ccc3-1c47-46b8-8ae5-9d0c0f088a67
Sports,991c6ab0,True,Gift Card,161.48,4ad92137,Bicycle,10,4,Los Angeles,USA,AZ,2067 Main St,75067,"sale,exclusive",2024-07-19 23:58:40,43755191-c995-4179-8589-12c516cd1268
Health,50054b3b,True,Cash,752.03,160a9598,Vitamins,8,,Chicago,USA,AZ,4018 Cedar St,80865,"exclusive,new,trending",2025-01-14 13:23:40,a32eccab-df71-4bc9-87dc-aea07a79c102
Automotive,28aa17e5,False,Cash,931.95,a2496873,Jump Starter,4,5,Chicago,USA,AZ,1473 Main St,19558,"new,trending,exclusive",2024-12-25 02:48:40,38cfb71a-4425-460d-8dc7-8d9d02e5749d
Grocery,110a85c5,False,Credit Card,576.88,851cbe2e,Frozen Meals,6,,Chicago,USA,NY,9380 Pine St,57160,exclusive,2024-11-09 03:20:40,3ffd29ba-7588-400b-acc9-465f23bb4c49
Beauty,ea837f03,True,PayPal,842.84,18f7a72e,Face Cream,6,1,Phoenix,USA,IL,6988 Cedar St,64363,,2024-07-10 11:23:40,1297c41e-78cd-421a-a152-a4ea333bbbb5
Toys,60945bf1,False,PayPal,167.93,84a62612,Puzzle,1,2,Chicago,USA,IL,299 Pine St,50617,,2024-12-22 08:04:40,82ffe0b9-6b29-40e5-a3c5-d523b8c919bf
Home & Kitchen,77ca0021,True,PayPal,679.6,458e8a28,Blender,6,1,Chicago,USA,CA,4993 Oak St,83639,"sale,limited,exclusive",2024-05-03 02:44:40,c296ce6a-0939-43cf-bac3-c683134775a4
Beauty,e217f882,True,Credit Card,810.04,6959e6ca,Perfume,10,3,Chicago,USA,CA,4921 Cedar St,84725,"trending,sale",2024-06-26 23:48:40,f5471471-a809-4504-9f57-8baec2572da8
Home & Kitchen,b0664d4f,False,Credit Card,611.11,ee42d327,Blender,8,,Houston,USA,TX,9005 Pine St,37906,"trending,limited",2024-05-28 19:48:40,8f0fee32-f288-4b36-88b4-aa850e9b4941
Clothing,0fe00f5e,True,Gift Card,285.42,2349e2ad,Jacket,8,1,Chicago,USA,IL,6942 Cedar St,91015,"new,trending",2024-04-07 07:09:40,3b79d0d1-7238-45bf-840b-9d1fbdeb6328
Sports,5335e873,False,PayPal,952.59,6a1bde25,Bicycle,5,,Houston,USA,NY,878 Pine St,58656,"sale,limited,exclusive",2024-05-19 03:58:40,5231d00f-8bc1-47cf-a0a2-d2c932792edf
Beauty,33aa7290,False,PayPal,282.33,3de2cc68,Nail Polish,2,,Chicago,USA,IL,6741 Cedar St,38995,new,2025-02-05 10:54:40,4071d0c5-e13a-4c39-b6b9-6814e504c831
Grocery,0111321e,False,Bank Transfer,999.07,b122de44,Cereal,2,,Phoenix,USA,TX,1960 Cedar St,66087,,2024-03-19 04:43:40,8282ae18-96ec-4bf1-83f8-77985f3b4748
Sports,716d9ab2,True,Debit Card,905.04,a41c8af5,Yoga Mat,2,2,New York,USA,TX,8135 Maple St,25948,,2024-03-24 02:30:40,71b2897c-829a-4bff-895c-515c21c09060
Books,5d0076e8,True,Gift Card,639.06,cedac9c9,History,6,,Los Angeles,USA,NY,7337 Pine St,91554,new,2025-01-20 16:03:40,363ada79-44ea-4408-8735-35016529f39d
Toys,fd510a4d,False,Credit Card,828.69,3c6ce8d5,Puzzle,8,,Houston,USA,TX,971 Main St,41880,"limited,sale,trending",2024-10-28 05:21:40,073f7877-a199-47a5-8d39-eb98c6a09bbd
Books,46c94eeb,False,Debit Card,675.36,25f847ef,Science Fiction,2,4,Chicago,USA,AZ,1327 Main St,43593,"new,exclusive,sale",2024-04-11 23:52:40,4257617e-ed89-41df-bba2-259cc41219d8
Sports,0170983d,True,Cash,902.25,a3275ff5,Tennis Racket,3,5,New York,USA,IL,995 Main St,81933,,2024-11-06 15:45:40,829d8933-7b83-454c-9f4f-68510999aad3
Health,d60cb020,True,Gift Card,189.03,9fbb50da,Vitamins,10,,Chicago,USA,AZ,5345 Maple St,97107,,2025-03-14 06:41:40,f8fd7781-0abb-48bb-a1d4-2d31e07727f7
Books,77f9e100,False,Bank Transfer,120.87,669c0cf3,Biography,5,,Chicago,USA,TX,7328 Oak St,17416,,2024-06-10 07:16:40,c82e6895-ff5a-4994-9532-6f594e5dec85
Clothing,7c929825,False,PayPal,886.41,469c40cf,Hat,5,4,Los Angeles,USA,AZ,9801 Oak St,89382,sale,2025-01-12 07:24:40,c6e876f0-ddf7-4f2b-8beb-35ea05a254ff
Health,56654e1e,False,PayPal,893.93,139c897c,First Aid Kit,6,,Los Angeles,USA,IL,8859 Cedar St,27244,"trending,exclusive",2024-09-04 07:15:40,670bef0c-1114-4708-932b-2f69f23f53aa
Toys,4033c935,False,PayPal,821.69,e6129d3e,Building Blocks,1,,Phoenix,USA,CA,2718 Pine St,61592,"new,sale",2024-11-06 16:25:40,a9a527bb-0b00-415e-a8dd-f29286559e3a
Automotive,1041a4be,True,Cash,222.83,35b66fd4,Jump Starter,4,1,Phoenix,USA,AZ,8361 Main St,18849,sale,2024-07-08 03:28:40,0c164169-b93b-47eb-96f0-482d99a75356
Automotive,663c5e10,False,Bank Transfer,154.14,5ca353a9,Car Wax,5,,New York,USA,NY,4904 Maple St,79753,"limited,new,sale",2025-03-06 09:46:40,5d736c49-7063-422a-b74f-5000fd0efb02
Health,3832f75c,False,Bank Transfer,618.77,4fbc1dc8,First Aid Kit,7,,New York,USA,TX,8636 Pine St,96479,sale,2024-04-14 07:25:40,07523762-0697-4213-89d9-24aae5c00fcb
Home & Kitchen,f4cd0a84,True,Debit Card,124.28,c7a23386,Microwave,2,1,Houston,USA,IL,6641 Maple St,68149,trending,2024-10-12 21:13:40,9364bde5-911e-4962-bd08-13b740001538
Books,d1bfa83e,True,Cash,701.01,420f2dcb,Biography,2,4,Chicago,USA,IL,7113 Main St,68849,,2024-09-07 21:20:40,3ff50586-d76f-48f3-99c6-adce89c7a3ec
Toys,89e97092,False,Bank Transfer,793.76,71996a1f,Board Game,8,5,New York,USA,AZ,8572 Oak St,14355,,2024-12-05 14:47:40,96b854b3-2b3e-4555-81a8-ef6f83b33eb9
Toys,1f3162dc,True,Gift Card,927.62,b7d5010c,Building Blocks,2,,Phoenix,USA,TX,6751 Main St,87670,new,2024-08-10 00:35:40,4cb555ef-0d91-4722-b909-8e83ef6bb3f5
Toys,66002232,True,Cash,161.17,e0f3ced3,Building Blocks,3,4,New York,USA,NY,7897 Maple St,19662,"limited,exclusive",2024-08-02 01:56:40,3bca1cba-0105-417d-ae68-1586437f7635
Health,c33a7ef4,False,Cash,241.44,e2706dce,First Aid Kit,10,2,Chicago,USA,NY,7416 Pine St,70553,"sale,trending,new",2024-05-25 02:44:40,e9ff269f-dac6-4189-bc36-7d7f5d9726e8
Health,60f3abbb,False,Credit Card,93.62,a257198d,First Aid Kit,6,4,Phoenix,USA,IL,2281 Maple St,89840,"exclusive,new",2024-10-12 19:39:40,de27ce66-13dd-4239-8d73-5cc738c7e90c
Clothing,4e7f2759,True,Credit Card,915.64,2cb13272,Socks,3,,Houston,USA,CA,1158 Main St,86053,trending,2024-10-08 06:46:40,7279165a-fbf8-4a62-8991-8a01484543d0
Sports,6952998f,True,Debit Card,831.06,44357f8c,Yoga Mat,4,1,Los Angeles,USA,NY,8476 Main St,21955,"exclusive,limited,sale",2025-02-08 02:39:40,13d1b97e-9f91-4ccc-b782-b2ff6bdfbbf0
Health,1ce6b6fd,False,Bank Transfer,695.09,303c7a3b,Pain Reliever,4,,Phoenix,USA,TX,5006 Main St,67474,"sale,new",2024-08-02 05:51:40,56fa01a3-5ac3-475d-9b1b-d37f6a16ec61
Toys,db26580b,True,PayPal,459.67,4e887ab1,Action Figure,3,1,Los Angeles,USA,NY,5527 Main St,66095,new,2024-10-27 19:04:40,6a6744e0-3e12-4307-8e09-614094638921
Automotive,7ad72826,True,Cash,481.88,ae09ea3d,Air Freshener,2,,New York,USA,NY,344 Pine St,40255,"new,limited",2025-01-26 23:53:40,6b403cac-21ec-4d37-9579-7631b00c7f6e
Books,df838cf1,False,PayPal,574.01,db58cf82,Biography,2,3,New York,USA,TX,632 Oak St,50895,"trending,limited,exclusive",2024-05-21 17:57:40,9d6fc4b9-a68b-4039-aa8a-b0211da4e985
Health,8a89af51,True,PayPal,892.46,08e41aee,Thermometer,1,1,New York,USA,TX,9086 Maple St,57322,,2024-05-11 14:10:40,9542538d-a1ca-4dff-ad26-90251fdacb14
Health,7e5dcb5c,False,Cash,826.6,9873d47c,Vitamins,7,1,Chicago,USA,NY,4624 Pine St,89427,"exclusive,sale",2024-10-15 01:28:40,ddb6b56c-c6d0-4d13-87b5-25c84224b68b
Clothing,ce609eb0,True,PayPal,820.66,67ac716e,Shoes,7,,New York,USA,NY,3751 Maple St,54832,"new,limited",2025-01-01 06:49:40,e5fc9f55-d6ae-4d7e-97dd-69bb4ebfafef
Toys,7cd5d5e9,True,PayPal,225.6,42ccca77,Board Game,7,,Chicago,USA,TX,3466 Pine St,71279,"sale,new,limited",2024-05-23 10:35:40,be907577-3e9c-4654-b3c3-2fff8591d541
Grocery,9ee7ecf3,True,PayPal,389.1,c0f50cbc,Snacks,5,4,Houston,USA,NY,4784 Cedar St,67621,"sale,exclusive",2024-05-26 20:28:40,4cd474de-6f4c-4d5d-b31d-96fb0afd45d4
Beauty,992fb8a2,False,Credit Card,641.25,b62fd932,Perfume,5,2,Los Angeles,USA,AZ,809 Pine St,16817,"limited,new",2025-03-03 23:59:40,9489df2b-19c0-4cf8-9558-62de384368d8
Electronics,13396733,True,PayPal,400.85,503898fe,Tablet,7,3,Phoenix,USA,AZ,2785 Cedar St,61895,"trending,sale,new",2024-10-01 10:03:40,fdc14535-1007-4d10-91f0-08b7a77094fc
Beauty,b9566c37,False,Bank Transfer,256.72,e196b081,Lipstick,9,1,Los Angeles,USA,TX,534 Main St,16821,,2024-05-05 06:04:40,32077c19-1b38-4f7e-89fa-6f596d9374a1
Home & Kitchen,506765b6,True,Debit Card,656.15,dbc7196f,Blender,3,3,New York,USA,AZ,4246 Cedar St,83295,"new,exclusive,trending",2024-10-10 07:59:40,fafe518a-d5e0-4032-9a36-6f57ca3c1df7
Toys,7f5c4532,True,Debit Card,606.13,4429cdfa,Board Game,4,,Phoenix,USA,NY,4411 Pine St,22127,,2024-10-09 19:10:40,29b4c345-ee28-4c0d-962e-b560cd94d1f3
Beauty,9ad46ffa,False,Credit Card,989.87,155e8652,Face Cream,5,3,Los Angeles,USA,IL,7536 Main St,54432,"exclusive,sale,trending",2024-07-14 10:29:40,ac1bae1c-2e0c-45af-9f4a-dd0ad2e168c4
Sports,05b5cf61,True,Bank Transfer,27.09,8869bda2,Basketball,1,1,Los Angeles,USA,NY,4036 Main St,68934,"limited,sale",2025-03-08 18:06:40,579bd562-a827-4ecc-b786-315a40e96855
Grocery,f1835638,False,Credit Card,456.09,bcfbff2d,Pasta,10,1,Phoenix,USA,CA,3244 Cedar St,58050,,2025-03-08 17:42:40,fcf19f44-619b-449b-a083-dcabafbca0f2
Toys,ecedc883,False,PayPal,226.29,472806c2,Puzzle,10,2,Los Angeles,USA,AZ,1436 Maple St,50500,sale,2024-04-03 08:34:40,db3fade1-f37c-4720-bc9a-794b327cb722
Toys,121d2de0,False,Gift Card,911.83,456ff06d,Stuffed Animal,9,1,New York,USA,IL,4959 Oak St,21378,exclusive,2024-10-23 14:37:40,e295180e-7340-44c4-babd-eaa432ad618d
Toys,5d67dc73,True,PayPal,946.66,03b573dc,Doll,6,5,Houston,USA,TX,6522 Oak St,62488,"exclusive,new",2024-06-08 20:28:40,2f3e1b36-808f-43e5-a0dd-abee87c20fec
Home & Kitchen,3710529d,False,Credit Card,447.35,2e1fbde6,Microwave,5,5,Los Angeles,USA,IL,5137 Oak St,96323,sale,2025-03-18 18:12:40,cfa3d770-521c-4b93-bc1c-0418079d0ae0
Electronics,33199a76,True,Credit Card,164.89,26c7e590,Laptop,10,3,Los Angeles,USA,NY,2123 Main St,89592,trending,2024-07-21 22:05:40,14ca9554-2f1b-43c5-9adb-e1d21ff6ab68
Grocery,ecf65c61,True,Credit Card,162.41,82ee46a6,Canned Goods,9,3,Los Angeles,USA,AZ,5761 Main St,91319,new,2024-03-19 18:15:40,7a0c18f7-557e-47a6-9f8c-1e7a79801321
Books,2069eec5,False,Credit Card,210.72,237ea9ae,Fiction Novel,1,1,Houston,USA,NY,2240 Pine St,67615,"sale,trending,new",2024-12-21 23:28:40,eb946ac8-2529-452a-a594-3325577809cd
Home & Kitchen,cf3648d4,True,Debit Card,458.7,188b74de,Plates,8,5,Houston,USA,IL,7867 Oak St,36418,,2024-05-09 16:15:40,ebce0354-70a9-497f-86eb-c782c91031b5
Home & Kitchen,bf14fab3,True,PayPal,288.53,841f0ceb,Knife Set,7,5,Houston,USA,AZ,1639 Pine St,79588,,2024-05-31 19:06:40,862f7651-b864-44df-a80a-c9fd9af73c61
Home & Kitchen,ee543d36,False,Gift Card,115.96,1aefdf57,Microwave,2,,Los Angeles,USA,IL,8257 Main St,82740,"sale,trending",2024-08-11 22:30:40,96b47339-86c9-495f-a9ed-2a837c70dbea
Sports,7e4ee79c,False,Gift Card,189.64,be26697a,Tennis Racket,5,2,Los Angeles,USA,AZ,8187 Pine St,23279,"sale,limited",2025-01-21 19:03:40,57510e3c-1c49-48e9-aecc-376cdb488abb
Health,3e53a2ba,True,Debit Card,635.7,47848e5f,Bandages,10,1,Houston,USA,IL,2914 Oak St,53511,"limited,trending",2024-05-10 20:25:40,a51a8cf6-4823-4dfa-ad8e-a840a8c7a191
Toys,f6325d48,True,Debit Card,228.77,5f18e677,Doll,8,1,New York,USA,IL,8470 Oak St,21495,,2024-10-01 11:53:40,a76cf217-3eea-4fa3-96cc-70222a15dc0c
Beauty,e10587b0,True,PayPal,694.31,e82b4b93,Perfume,5,1,Los Angeles,USA,NY,3675 Oak St,38657,trending,2024-10-08 16:59:40,0520abce-02d7-4a1f-ba51-c60da5089e50
Health,eb69098c,False,PayPal,661.5,e58bd15e,Pain Reliever,4,,Phoenix,USA,CA,2643 Pine St,51406,"new,exclusive",2024-12-06 03:54:40,57495424-a5bb-49f9-a092-232eb01430ad
