category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id,date,year,month,day,day_of_week,total_price
Electronics,5ffe17de,,PayPal,247.34,5eb47876,Tablet,6,5.0,Chicago,USA,CA,7294 Main St,10562,"limited,exclusive",2025-02-26 22:34:43,7c59626f-2ae6-4423-b53b-569b53fcbfe6,2025-02-26,2025,2,26,4,1484.04
Electronics,b6584b6e,,Cash,569.26,b5c18368,TV,6,0.0,Chicago,USA,CA,9203 Maple St,99763,"limited,trending",2024-06-09 13:25:43,a519c520-8cdd-4926-878d-b8eda8a6a9c0,2024-06-09,2024,6,9,1,3415.56
Books,18aff7ed,,Gift Card,110.9,86858d4f,Self-Help,3,5.0,Chicago,USA,CA,3192 Pine St,58909,new,2024-09-14 09:05:43,050e31bf-1e5d-41e3-82cc-acd551d3c75c,2024-09-14,2024,9,14,7,332.70000000000005
Health,9cb10953,,Credit Card,170.39,367eeb62,Thermometer,9,3.0,Chicago,USA,NY,817 Oak St,86458,,2024-04-25 12:39:43,50cca303-95fa-4c40-8fd4-1e4e98282c25,2024-04-25,2024,4,25,5,1533.5099999999998
Electronics,e17c5513,,Cash,583.58,e156c2d8,Tablet,5,0.0,Chicago,USA,IL,7535 Oak St,76356,"exclusive,limited",2024-11-16 10:45:43,1dcc1f6c-e662-4dd7-ae34-087400e7f667,2024-11-16,2024,11,16,7,2917.9
Clothing,2eb4f547,,Gift Card,859.29,92e2ec75,Shoes,6,0.0,Phoenix,USA,IL,7470 Oak St,57203,"new,sale",2024-09-06 04:04:43,354190c7-0efa-49d1-a821-d19f55b66ffe,2024-09-06,2024,9,6,6,5155.74
Grocery,2ab8b536,,Cash,421.65,fac07f9c,Snacks,10,2.0,Chicago,USA,TX,139 Maple St,16821,"new,sale,trending",2024-12-06 20:13:43,0ff1b3af-d633-43b5-a7fa-d70624be95ef,2024-12-06,2024,12,6,6,4216.5
Beauty,2410d8b4,,Gift Card,499.23,0d0278f5,Shampoo,1,5.0,Phoenix,USA,CA,7778 Cedar St,12809,"limited,trending",2024-03-24 13:57:43,47fc048c-aa43-4eab-b7a7-6dcba380e3aa,2024-03-24,2024,3,24,1,499.23
Beauty,92ae1f15,,Debit Card,85.48,558dc44e,Nail Polish,6,0.0,Chicago,USA,NY,8933 Oak St,70532,"sale,trending,new",2024-11-29 06:49:43,67123144-f1da-4b44-bc11-90e4c44e0c82,2024-11-29,2024,11,29,6,512.88
Beauty,942c5385,,Credit Card,982.78,8da0104d,Hair Dryer,7,0.0,Phoenix,USA,NY,1940 Cedar St,15792,exclusive,2024-08-08 13:25:43,76ba5186-7ccb-4eaf-b0a3-0171676941fe,2024-08-08,2024,8,8,5,6879.46
Sports,28c51a77,,PayPal,81.86,f4945957,Bicycle,2,5.0,Los Angeles,USA,NY,2106 Main St,89111,,2024-06-05 06:41:43,56a6e244-8988-4ceb-bc56-37ea5d67328d,2024-06-05,2024,6,5,4,163.72
Toys,4ee3f653,,PayPal,454.65,ddf2015d,Board Game,7,1.0,New York,USA,AZ,2527 Cedar St,59650,"sale,exclusive,trending",2024-10-18 07:21:43,6ea327d1-cb2a-445f-91ed-efcc586b4456,2024-10-18,2024,10,18,6,3182.5499999999997
Beauty,123a3c06,,Gift Card,930.99,d44dfc80,Perfume,9,0.0,Los Angeles,USA,AZ,6627 Pine St,24300,"exclusive,trending,sale",2025-03-17 17:35:43,2d6cdb54-3589-4fae-9cff-d0c08a66dc2f,2025-03-17,2025,3,17,2,8378.91
Sports,82390af1,,Cash,726.3,bef03660,Basketball,10,2.0,Phoenix,USA,AZ,1303 Main St,43598,sale,2024-10-31 08:56:43,e94f0c93-9345-4c5d-9d88-03eb34b18d26,2024-10-31,2024,10,31,5,7263.0
Sports,a9c5f084,,Gift Card,17.58,78651a84,Basketball,2,0.0,Los Angeles,USA,AZ,2241 Maple St,60468,trending,2025-03-03 22:21:43,7f94a37d-42b0-4879-a3ee-c9a71c6ae862,2025-03-03,2025,3,3,2,35.16
Toys,e78a6dad,,Credit Card,887.21,a54739d4,Action Figure,5,3.0,Phoenix,USA,TX,4700 Maple St,97163,sale,2024-10-07 11:16:43,b55ac130-b072-4737-a25d-cc9bdc2b211d,2024-10-07,2024,10,7,2,4436.05
Electronics,8ef6d575,,Credit Card,715.62,eaf9e517,Headphones,1,5.0,Chicago,USA,TX,7269 Maple St,86438,exclusive,2024-04-03 04:40:43,7959842e-984e-48da-bfb5-8fffc54de73c,2024-04-03,2024,4,3,4,715.62
Clothing,9d9476af,,Gift Card,824.06,2cfbf90e,Hat,2,0.0,Chicago,USA,NY,5363 Maple St,71217,,2024-08-27 02:22:43,9a58278a-e605-405c-b5b8-98684e403e2d,2024-08-27,2024,8,27,3,1648.12
Books,fb5ec0e9,,Credit Card,795.5,e9865480,Self-Help,8,4.0,New York,USA,AZ,5834 Cedar St,21964,"limited,trending",2025-01-05 20:31:43,15c5a5e3-213d-4814-831c-7a7cea3c3561,2025-01-05,2025,1,5,1,6364.0
Automotive,8c095ba7,,PayPal,636.95,a348a31f,Tire Gauge,8,5.0,New York,USA,AZ,3122 Main St,94280,new,2024-11-07 07:38:43,cb9c5d51-6e25-4251-ae64-5b8ba6ccea08,2024-11-07,2024,11,7,5,5095.6
Clothing,2e7f0ca5,,Gift Card,595.07,fd048a57,Dress,2,1.0,Chicago,USA,AZ,8948 Maple St,73279,"exclusive,sale",2024-07-06 06:45:43,645bf3fe-8468-42cb-8ed7-f2a085273a75,2024-07-06,2024,7,6,7,1190.14
Grocery,237a1b6d,,Cash,323.42,f3a5e021,Coffee,4,0.0,New York,USA,IL,1520 Cedar St,75525,"exclusive,sale",2024-04-23 09:53:43,366d9b09-80f8-4f5d-96aa-18dc473b81f6,2024-04-23,2024,4,23,3,1293.68
Clothing,c30c021c,,Credit Card,82.49,0c542821,Shoes,5,0.0,Phoenix,USA,CA,8227 Oak St,72588,"sale,limited,exclusive",2025-02-22 17:41:43,bc290270-37d4-4b83-9860-c4d26f49bfe4,2025-02-22,2025,2,22,7,412.45
Clothing,34787fdc,,Credit Card,626.06,2d455fa3,Jeans,2,4.0,Phoenix,USA,CA,2102 Pine St,22995,"sale,exclusive,trending",2024-06-24 02:41:43,a6273620-0a36-40c7-844c-aac75aaa7f60,2024-06-24,2024,6,24,2,1252.12
Grocery,d426273c,,PayPal,343.8,0ec195ec,Cereal,3,5.0,New York,USA,NY,1041 Main St,47158,"limited,sale,exclusive",2024-05-17 00:40:43,028bc11d-c080-4aba-913a-929cd2c2ba1b,2024-05-17,2024,5,17,6,1031.4
Toys,0c772c6b,,Cash,271.77,be5bdfac,Action Figure,7,1.0,Chicago,USA,IL,2035 Maple St,79151,"trending,limited,exclusive",2024-09-10 18:06:43,d11f9330-e571-471a-a135-1588e3231c2a,2024-09-10,2024,9,10,3,1902.3899999999999
Home & Kitchen,2ee9831b,,Bank Transfer,774.96,982f79ae,Toaster,1,5.0,Chicago,USA,CA,1779 Oak St,78262,"sale,trending,exclusive",2024-09-10 21:03:43,c37b75a1-7ba2-438a-90b7-c3e99787608f,2024-09-10,2024,9,10,3,774.96
Electronics,583d16d4,,Bank Transfer,944.76,60f8970a,Tablet,9,0.0,Houston,USA,IL,7876 Maple St,11469,exclusive,2024-12-28 20:26:43,c86e4a26-3521-45e0-a361-404bdc986c9e,2024-12-28,2024,12,28,7,8502.84
Books,f68e2213,,Bank Transfer,386.43,4813925f,Fiction Novel,2,3.0,Los Angeles,USA,NY,6828 Pine St,14972,,2024-09-10 05:58:43,fa35c9e7-b086-4f5b-8a58-16fe284ccfc5,2024-09-10,2024,9,10,3,772.86
Home & Kitchen,620de29b,,Gift Card,673.09,a0115661,Toaster,1,5.0,Los Angeles,USA,IL,4509 Pine St,93438,,2024-09-19 04:15:43,3ad4bcd0-fcee-4ed5-baf0-cde593820ca8,2024-09-19,2024,9,19,5,673.09
Home & Kitchen,8b77d454,,Gift Card,682.01,cd6fb4af,Blender,5,4.0,New York,USA,CA,7469 Cedar St,55602,sale,2024-10-22 13:17:43,6790a3a3-6a12-4ba3-a5e0-b4f829b08121,2024-10-22,2024,10,22,3,3410.05
Home & Kitchen,805de350,,Debit Card,685.95,32807b40,Knife Set,8,1.0,Los Angeles,USA,AZ,3829 Maple St,19286,"new,exclusive,sale",2024-11-07 22:38:43,18ec98d4-8250-4b7d-85f3-5beffd003c3d,2024-11-07,2024,11,7,5,5487.6
Home & Kitchen,10d70e2c,,Cash,353.65,3ee56ff2,Knife Set,4,0.0,Phoenix,USA,IL,6738 Main St,29358,"sale,trending",2025-03-18 13:49:43,9307d85a-e163-418c-8654-59cec924f93c,2025-03-18,2025,3,18,3,1414.6
Health,5a3d2f10,,Debit Card,662.09,ae30b213,Pain Reliever,2,3.0,Phoenix,USA,TX,5412 Maple St,47420,,2025-03-08 05:53:43,50a962cd-cb7b-44d6-841c-792c62290961,2025-03-08,2025,3,8,7,1324.18
Toys,0e1ea48e,,Bank Transfer,158.57,cf99777c,Building Blocks,10,3.0,Chicago,USA,CA,6250 Cedar St,80335,"limited,sale",2024-09-09 08:14:43,c9879426-39f3-4961-ba50-f5720a9b5363,2024-09-09,2024,9,9,2,1585.6999999999998
Toys,aede91bb,,Debit Card,394.11,4b3cc7ab,Stuffed Animal,6,1.0,Los Angeles,USA,NY,2741 Pine St,29017,trending,2025-01-08 09:07:43,b7fd6518-b5ad-4403-82fd-dccd36707368,2025-01-08,2025,1,8,4,2364.66
Home & Kitchen,b55c05b6,,Credit Card,577.01,83cd23ae,Knife Set,7,2.0,Houston,USA,CA,4850 Pine St,64961,limited,2024-08-07 15:18:43,ff97ee3f-5099-4930-bc27-979d4fe8db88,2024-08-07,2024,8,7,4,4039.0699999999997
Clothing,674188a0,,Gift Card,90.78,eeff3e09,Socks,4,0.0,New York,USA,IL,1932 Cedar St,95637,"new,exclusive,sale",2024-10-04 19:36:43,dbdba835-227f-455b-bc75-588b11de4ebf,2024-10-04,2024,10,4,6,363.12
Sports,7ab43ec0,,Gift Card,547.22,e30a301b,Basketball,2,2.0,Los Angeles,USA,CA,2616 Oak St,94429,"trending,sale",2024-06-01 23:47:43,67923676-705c-4899-96ad-c349c883df9c,2024-06-01,2024,6,1,7,1094.44
Sports,0dcf34c0,,Bank Transfer,798.47,bb07e26e,Tennis Racket,10,4.0,Los Angeles,USA,TX,6677 Pine St,57249,,2024-05-13 06:56:43,cd17e3af-f6ed-4f87-84cf-7a8efc3063e4,2024-05-13,2024,5,13,2,7984.700000000001
Sports,b0268ad7,,Gift Card,538.83,83fd57d2,Basketball,1,4.0,Phoenix,USA,AZ,2598 Main St,24071,,2024-10-14 13:14:43,5148642e-9a86-43dd-9ca7-5ff919a4c4c2,2024-10-14,2024,10,14,2,538.83
Beauty,657a10fe,,PayPal,756.58,1e582212,Nail Polish,3,5.0,Los Angeles,USA,IL,7993 Cedar St,77280,"new,sale",2025-03-17 06:59:43,5ebe2bb7-a6e2-4cd0-aac4-94611b78ad81,2025-03-17,2025,3,17,2,2269.7400000000002
Sports,96f35046,,Cash,701.1,955b3cd1,Dumbbells,1,0.0,Chicago,USA,NY,397 Maple St,56310,exclusive,2024-12-05 03:13:43,76d1e0a6-b5b1-407e-88ab-be72eaceae4d,2024-12-05,2024,12,5,5,701.1
Books,df609354,,Credit Card,249.85,01f12887,Fiction Novel,1,0.0,Los Angeles,USA,NY,3379 Cedar St,80805,"limited,trending,new",2024-10-24 18:09:43,dc3318e3-65b0-4266-ae1d-5fafb465dbe3,2024-10-24,2024,10,24,5,249.85
Sports,49f46399,,Bank Transfer,542.98,d40b37c5,Basketball,4,3.0,Chicago,USA,CA,6049 Oak St,59672,"exclusive,trending",2024-08-11 05:56:43,da5854bc-b8ec-4c4b-82ea-f12e7d31db5e,2024-08-11,2024,8,11,1,2171.92
Home & Kitchen,80c99764,,Credit Card,802.13,e82696db,Plates,5,3.0,Chicago,USA,CA,8583 Main St,23506,"trending,exclusive",2024-04-11 06:32:43,b82b79c0-3358-4d5f-8fdd-2d8b5aafe5db,2024-04-11,2024,4,11,5,4010.65
Electronics,e930fccc,,Gift Card,392.18,de02432a,TV,1,4.0,Phoenix,USA,CA,2773 Pine St,60259,trending,2024-12-09 03:13:43,41be69d3-690a-4d65-94b0-448852556de7,2024-12-09,2024,12,9,2,392.18
Clothing,958a6450,,Credit Card,594.74,03d8d290,Shoes,5,4.0,Phoenix,USA,IL,6335 Main St,82343,limited,2024-12-02 19:34:43,2e2097b7-e7de-4380-94d2-a2423594e532,2024-12-02,2024,12,2,2,2973.7
Electronics,3ffc3a90,,Cash,718.59,a8cab18e,Smart Watch,5,0.0,Chicago,USA,IL,5929 Pine St,53046,"new,sale,exclusive",2024-05-11 00:12:43,260c20d0-7511-4cf3-9fab-46641e70f33c,2024-05-11,2024,5,11,7,3592.9500000000003
Sports,2b52a6d7,,Credit Card,307.47,c11ab5db,Yoga Mat,9,0.0,Chicago,USA,CA,8765 Oak St,41559,"sale,new,limited",2024-11-24 06:39:43,f3cc7e43-6caa-4991-92d1-576450837bdb,2024-11-24,2024,11,24,1,2767.2300000000005
Sports,065d44fb,,Cash,245.06,666e10ab,Bicycle,5,0.0,Los Angeles,USA,IL,2828 Main St,50521,,2024-05-30 10:52:43,939c1e34-2493-4fdb-a78a-26fb4c1a55c4,2024-05-30,2024,5,30,5,1225.3
Electronics,1c24e8c4,,Debit Card,176.52,2f5a384c,TV,8,3.0,Los Angeles,USA,IL,9591 Main St,76243,"new,sale",2024-11-08 07:49:43,7e4ebeed-fc08-4dca-8d21-ecdf6efeda54,2024-11-08,2024,11,8,6,1412.16
Toys,47e26b8a,,Bank Transfer,875.53,ac6f1859,Building Blocks,4,0.0,Los Angeles,USA,IL,2796 Main St,29977,"exclusive,new",2025-02-25 12:51:43,2fee0b9d-454c-439d-871d-2cdf86a36a4c,2025-02-25,2025,2,25,3,3502.12
Grocery,f0c05c98,,PayPal,158.53,cf3855c8,Canned Goods,5,1.0,Phoenix,USA,AZ,3990 Maple St,66882,"new,exclusive,trending",2025-03-10 00:11:43,99dc2b60-628a-47a4-9404-0a9caf5b57db,2025-03-10,2025,3,10,2,792.65
Home & Kitchen,f15ccbda,,Gift Card,424.44,e8191b17,Coffee Maker,10,4.0,Chicago,USA,NY,4801 Maple St,94189,exclusive,2024-06-09 06:47:43,49dcf0ab-46cc-4d09-87de-da600fb64c38,2024-06-09,2024,6,9,1,4244.4
Beauty,a5e7fd83,,Cash,228.7,0433211b,Perfume,2,3.0,Los Angeles,USA,NY,2417 Pine St,28410,sale,2025-01-29 09:48:43,7ca3451a-7d79-421b-a0f8-541b1cee8d22,2025-01-29,2025,1,29,4,457.4
Grocery,e26d1168,,Gift Card,300.64,70566663,Canned Goods,2,1.0,New York,USA,NY,3282 Oak St,95796,"new,trending",2024-11-17 02:08:43,e0d83942-2daa-44bc-9aa3-3cc86735a670,2024-11-17,2024,11,17,1,601.28
Toys,83a07756,,PayPal,982.21,69742997,Stuffed Animal,7,0.0,New York,USA,CA,1511 Main St,83135,trending,2025-02-14 05:27:43,ea9eaa46-444b-4fa9-bda3-3e640198a80a,2025-02-14,2025,2,14,6,6875.47
Toys,ca6262f5,,Credit Card,426.51,9daca257,Stuffed Animal,1,5.0,Phoenix,USA,NY,2473 Pine St,65519,trending,2024-11-06 02:54:43,8eef1914-2992-4878-9d14-e73a0012e046,2024-11-06,2024,11,6,4,426.51
Sports,f1639d64,,Debit Card,570.87,e2eb5f62,Basketball,4,1.0,Chicago,USA,CA,2187 Main St,86345,,2025-02-07 20:28:43,162ecffa-6406-4ec1-8636-6399506f687c,2025-02-07,2025,2,7,6,2283.48
Toys,dabf0d3b,,Gift Card,382.91,81fa7abd,Action Figure,2,0.0,Chicago,USA,IL,9638 Cedar St,42918,"new,sale",2024-04-05 02:19:43,e5bd22d1-2e07-4eed-9db7-1a648dd71982,2024-04-05,2024,4,5,6,765.82
Toys,9d28867b,,Gift Card,550.87,f0dc4a3c,Puzzle,8,1.0,Houston,USA,IL,4267 Cedar St,19815,"sale,new",2024-03-19 20:07:43,670607bc-38d0-4592-8664-ea66246c2087,2024-03-19,2024,3,19,3,4406.96
Toys,2766f3e9,,Debit Card,636.49,5c8eb4a0,Action Figure,7,2.0,Houston,USA,IL,7655 Pine St,94133,"exclusive,new",2025-01-06 13:50:43,93292387-7413-42b0-8804-a48e4f2ccb21,2025-01-06,2025,1,6,2,4455.43
Beauty,137c3723,,Cash,94.67,9480512b,Shampoo,9,0.0,Phoenix,USA,AZ,2696 Maple St,96589,sale,2024-05-27 17:52:43,5fcd0641-ec21-433a-aa10-17e47204245f,2024-05-27,2024,5,27,2,852.03
Home & Kitchen,69447ef8,,PayPal,249.26,6fc8a35f,Coffee Maker,10,3.0,Los Angeles,USA,CA,2890 Pine St,66355,,2024-06-24 00:04:43,a9b04e35-17c4-4570-ade0-5faa9195830c,2024-06-24,2024,6,24,2,2492.6
Electronics,6916aadb,,Bank Transfer,589.0,49ef29a3,TV,6,4.0,New York,USA,CA,3713 Maple St,52381,limited,2024-12-02 13:25:43,01d3fe16-8966-4e5f-a71f-7ccc3e0f1260,2024-12-02,2024,12,2,2,3534.0
Grocery,e1bb8ed8,,Debit Card,421.82,e9aaf58a,Snacks,7,1.0,Chicago,USA,IL,8747 Pine St,79042,"sale,exclusive,new",2024-03-23 13:06:43,4fbc97d3-0e99-44f8-99e0-014fd20f7d95,2024-03-23,2024,3,23,7,2952.74
Grocery,4c1e0335,,PayPal,503.53,1b8a02e7,Frozen Meals,7,4.0,Houston,USA,CA,3807 Maple St,18458,exclusive,2024-04-30 01:07:43,b39cf834-30ae-4215-b070-686442f2753b,2024-04-30,2024,4,30,3,3524.71
Health,5a268cd7,,Gift Card,108.04,fb8b1479,First Aid Kit,5,0.0,Los Angeles,USA,IL,464 Maple St,28062,exclusive,2024-12-28 18:33:43,75f56d54-10ab-43e1-9950-0832830d91b4,2024-12-28,2024,12,28,7,540.2
Health,99ae8650,,Bank Transfer,919.38,57b0a363,Thermometer,4,0.0,Phoenix,USA,CA,2736 Pine St,37156,"new,trending,sale",2025-01-01 00:26:43,05daaa3c-07ed-468a-8e99-560aed69dcf5,2025-01-01,2025,1,1,4,3677.52
Electronics,02ed2f5f,,Gift Card,965.86,40a1dfd0,Tablet,8,5.0,New York,USA,CA,184 Oak St,44345,"trending,sale,new",2024-05-11 08:53:43,3f454994-cbb7-4028-a5d7-d8bc6a98dcdc,2024-05-11,2024,5,11,7,7726.88
Books,cd64f77e,,Cash,891.31,9fc189aa,History,5,4.0,New York,USA,CA,1379 Oak St,39230,,2024-09-19 10:37:43,5de20a2f-893b-41d0-b44c-b054b194eca1,2024-09-19,2024,9,19,5,4456.549999999999
Toys,f0758ea2,,Bank Transfer,312.01,af3bdf7b,Building Blocks,9,4.0,Los Angeles,USA,CA,9755 Cedar St,83620,"sale,trending",2024-09-02 17:38:43,d7e7f5d6-2ab3-4b5a-85ba-177d9de22696,2024-09-02,2024,9,2,2,2808.09
Sports,778495fc,,Bank Transfer,555.38,5af3cfe7,Running Shoes,5,3.0,Phoenix,USA,IL,6380 Oak St,90530,"limited,exclusive",2024-10-25 08:52:43,7a21ab39-099f-49d8-91ad-6dec4b816c47,2024-10-25,2024,10,25,6,2776.9
Electronics,c00fc071,,Cash,735.59,9cad995e,TV,6,2.0,New York,USA,CA,9022 Cedar St,61227,,2025-01-19 15:04:43,d14de440-58c9-4897-8446-27d7ca787a62,2025-01-19,2025,1,19,1,4413.54
Grocery,c0a82da9,,Credit Card,151.78,ac2374dc,Coffee,7,0.0,Chicago,USA,CA,9021 Oak St,38698,"new,exclusive,sale",2024-05-26 08:35:43,408a43e7-fc65-43e4-8ddd-89545812e837,2024-05-26,2024,5,26,1,1062.46
Clothing,dc41011e,,Gift Card,672.76,1077e198,Hat,7,2.0,Houston,USA,AZ,1052 Pine St,19960,limited,2024-11-08 03:18:43,4b8a7e8c-82a1-49b7-b0a5-a7ab144b0bc8,2024-11-08,2024,11,8,6,4709.32
Books,ccf8674c,,PayPal,425.39,f0a8a3a4,Biography,1,2.0,Houston,USA,CA,6620 Maple St,12724,new,2025-03-17 13:27:43,d28abb3f-9131-4426-852e-07b35a7687ce,2025-03-17,2025,3,17,2,425.39
Sports,e8e3f9e9,,Gift Card,659.05,a4fce7bf,Basketball,9,0.0,Chicago,USA,NY,2862 Maple St,28573,,2024-11-19 03:38:43,e21a4a29-fa06-4d33-9f51-c472a3085d91,2024-11-19,2024,11,19,3,5931.45
Clothing,26c4a16e,,Debit Card,705.66,0cd70676,T-shirt,2,0.0,Phoenix,USA,NY,8067 Oak St,34747,"trending,limited,sale",2024-04-19 01:34:43,23dde0f7-a0fa-4010-ba43-cd2c453817ad,2024-04-19,2024,4,19,6,1411.32
Sports,2d2e933a,,Credit Card,251.63,c91556fd,Basketball,5,2.0,Phoenix,USA,AZ,1927 Pine St,46881,new,2024-04-30 12:57:43,69568e66-52b6-4293-b322-650c20737134,2024-04-30,2024,4,30,3,1258.15
Automotive,01c7b46a,,Gift Card,854.66,04135193,Jump Starter,2,5.0,Chicago,USA,NY,4314 Cedar St,47927,"limited,new,sale",2024-11-07 14:45:43,2f6d4c02-2a65-4df7-ba1f-69d8be1eed27,2024-11-07,2024,11,7,5,1709.32
Sports,c160d8e7,,Gift Card,195.63,98eac0b9,Tennis Racket,2,2.0,Los Angeles,USA,IL,6065 Maple St,11659,"sale,trending",2024-08-20 02:46:43,28d60992-a665-4702-9a43-55e47d659095,2024-08-20,2024,8,20,3,391.26
